TIME	forecast2019	singleHit	doubleHit
2019-Q1	97.8626931819476	98.2383290096982	98.2383290096982
2019-Q2	98.5646552305399	98.86034524872	98.86034524872
2019-Q3	99.2425394106308	99.4624724930834	99.4624724930834
2019-Q4	100	100	100
2020-Q1	100.730545078476	97.0131783685873	97.0131531629455
2020-Q2	101.440036093607	87.5760446634875	87.5763203978652
2020-Q3	102.183133338694	92.8294514068771	92.8296743585965
2020-Q4	102.941431119359	95.4101579110213	88.9666083633012
2021-Q1	103.710279216928	96.798587304789	91.7668067069038
2021-Q2	104.487842722555	97.7251284575298	93.6607698414388
2021-Q3	105.285072940039	98.520412525047	94.9892585475633
2021-Q4	106.097235836013	99.2096253694241	96.027390249865
